StudentID,Name,Electronics,Programming,Database,Data Science,Math,Eng
S00085,Student_85,78,68,42,93,89,96
S00086,Student_86,48,47,87,70,62,61
S00087,Student_87,68,57,49,80,87,46
S00088,Student_88,90,83,42,53,47,54
S00089,Student_89,49,77,80,96,72,59
S00090,Student_90,56,80,43,46,94,92
S00091,Student_91,52,70,71,53,92,55
S00092,Student_92,94,67,68,93,44,95
S00093,Student_93,60,50,82,71,51,78
S00094,Student_94,64,95,88,69,41,71
S00095,Student_95,65,95,40,58,65,80
S00096,Student_96,96,61,92,91,62,67
S00097,Student_97,99,81,48,68,48,80
S00098,Student_98,44,88,72,60,47,51
S00099,Student_99,55,75,55,69,91,72
S00100,Student_100,88,49,47,85,65,52
S00101,Student_101,42,98,46,60,96,46
S00102,Student_102,98,55,80,98,97,60
S00103,Student_103,76,96,43,79,87,68
S00104,Student_104,52,43,78,93,94,41
S00105,Student_105,46,51,43,87,95,53
S00106,Student_106,85,97,77,98,79,99
S00107,Student_107,89,87,79,94,68,98
S00108,Student_108,52,40,51,46,40,50
S00109,Student_109,65,44,69,83,77,59
S00110,Student_110,53,65,57,78,74,59
S00111,Student_111,84,57,63,94,67,98
S00112,Student_112,48,92,96,65,85,69
S00113,Student_113,56,61,83,63,47,64
S00114,Student_114,47,96,54,45,64,61
S00115,Student_115,73,97,96,56,40,79
S00116,Student_116,88,75,48,65,71,69
S00117,Student_117,90,79,42,54,75,40
S00118,Student_118,88,79,63,97,89,63
S00119,Student_119,90,54,78,92,54,97
S00120,Student_120,82,79,80,78,76,48
S00121,Student_121,46,79,86,73,80,97
S00122,Student_122,99,63,61,80,87,98
S00123,Student_123,62,51,63,46,67,96
S00124,Student_124,93,68,40,94,67,46
S00125,Student_125,98,50,79,53,70,91
S00126,Student_126,83,46,68,95,45,46
S00127,Student_127,68,83,88,75,89,69
S00128,Student_128,61,89,68,91,59,59
S00129,Student_129,76,86,83,80,83,49
S00130,Student_130,60,47,62,43,54,98
S00131,Student_131,79,42,87,60,75,77
S00132,Student_132,72,93,68,53,93,83
S00133,Student_133,63,85,51,59,45,87
S00134,Student_134,83,62,84,98,70,99
S00135,Student_135,75,67,66,90,89,81
S00136,Student_136,97,99,52,73,76,54
S00137,Student_137,68,87,69,80,99,92
S00138,Student_138,65,51,69,58,90,88
S00139,Student_139,94,99,69,81,45,58
S00140,Student_140,66,53,55,60,52,92
S00141,Student_141,84,55,61,51,53,93
S00142,Student_142,46,79,44,48,90,93
S00143,Student_143,53,53,60,79,67,77
S00144,Student_144,77,62,74,40,59,57
S00145,Student_145,75,81,59,62,52,43
S00146,Student_146,47,46,46,83,75,70
S00147,Student_147,46,89,72,75,81,81
S00148,Student_148,69,65,53,67,65,76
S00149,Student_149,56,42,69,50,52,43
S00150,Student_150,84,58,75,67,56,99
S00151,Student_151,63,50,54,46,98,57
S00152,Student_152,72,98,77,78,47,74
S00153,Student_153,99,67,45,69,56,77
S00154,Student_154,50,45,67,74,96,41
S00155,Student_155,59,58,51,45,67,84
S00156,Student_156,67,64,85,56,80,48
S00157,Student_157,96,76,58,58,54,85
S00158,Student_158,44,95,89,44,97,49
S00159,Student_159,97,41,99,68,77,54
S00160,Student_160,60,48,70,56,90,46
S00161,Student_161,73,52,84,59,87,47
S00162,Student_162,71,42,42,60,66,55
S00163,Student_163,52,95,95,72,97,50
S00164,Student_164,92,72,50,65,48,89
S00165,Student_165,80,81,85,44,64,60
S00166,Student_166,85,73,68,74,47,91
S00167,Student_167,97,52,77,53,83,83
S00168,Student_168,78,64,44,72,86,54
S00169,Student_169,56,84,68,67,82,44
S00170,Student_170,49,73,57,50,45,46
S00171,Student_171,55,93,75,63,82,99
S00172,Student_172,66,79,91,78,87,44
S00173,Student_173,85,72,61,84,60,48
S00174,Student_174,45,72,75,91,87,68
S00175,Student_175,51,86,72,75,65,59
S00176,Student_176,85,43,62,86,97,92
S00177,Student_177,90,55,43,61,41,78
S00178,Student_178,49,67,91,42,91,90
S00179,Student_179,70,75,43,96,67,85
S00180,Student_180,68,49,86,44,81,66
S00181,Student_181,61,67,80,77,96,54
S00182,Student_182,62,41,57,84,92,55
S00183,Student_183,65,95,85,90,62,65
S00184,Student_184,71,80,66,43,60,72
S00185,Student_185,97,90,75,64,81,60
S00186,Student_186,53,63,69,48,43,59
S00187,Student_187,79,65,61,84,47,87
S00188,Student_188,56,90,50,54,71,57
S00189,Student_189,84,97,76,80,55,68
S00190,Student_190,66,43,79,85,76,83
S00191,Student_191,51,99,53,99,92,48
S00192,Student_192,68,72,83,81,99,41
S00193,Student_193,73,80,63,76,74,71
S00194,Student_194,95,73,50,89,60,69
S00195,Student_195,97,97,66,50,94,64
S00196,Student_196,56,90,88,68,48,47
S00197,Student_197,53,94,89,81,62,51
S00198,Student_198,70,73,58,83,51,65
S00199,Student_199,48,69,81,79,90,73
S00200,Student_200,62,47,76,89,91,49
S00201,Student_201,70,59,72,42,45,52
S00202,Student_202,80,77,78,43,48,51
S00203,Student_203,49,59,66,76,82,99
S00204,Student_204,86,87,50,91,61,88
S00205,Student_205,84,82,96,55,93,51
S00206,Student_206,88,52,79,63,46,81
S00207,Student_207,79,53,64,41,84,81
S00208,Student_208,94,80,94,57,69,91
S00209,Student_209,48,61,98,94,69,66
S00210,Student_210,74,52,57,60,92,42
S00211,Student_211,91,42,70,68,82,54
S00212,Student_212,92,43,96,74,71,49
S00213,Student_213,42,86,70,79,86,52
S00214,Student_214,60,69,83,66,57,66
S00215,Student_215,82,96,87,68,48,81
S00216,Student_216,40,56,84,99,90,55
S00217,Student_217,68,65,47,60,91,62
S00218,Student_218,80,84,44,84,69,75
S00219,Student_219,42,88,67,98,54,72
S00220,Student_220,93,90,74,84,86,69
S00221,Student_221,63,41,83,51,98,87
S00222,Student_222,63,75,76,44,92,53
S00223,Student_223,90,50,77,82,41,83
S00224,Student_224,66,55,42,69,88,56
S00225,Student_225,89,72,87,50,61,76
S00226,Student_226,54,72,41,76,79,95
S00227,Student_227,65,67,47,52,70,42
S00228,Student_228,98,94,41,76,53,86
S00229,Student_229,60,47,73,42,43,50
S00230,Student_230,43,71,66,44,63,45
S00231,Student_231,95,79,87,97,47,82
S00232,Student_232,79,86,92,60,61,96
S00233,Student_233,62,93,52,55,79,51
S00234,Student_234,96,84,51,41,93,43
S00235,Student_235,55,77,43,97,89,47
S00236,Student_236,63,43,95,71,64,77
S00237,Student_237,80,56,71,59,71,80
S00238,Student_238,88,45,56,43,82,76
S00239,Student_239,57,75,99,59,82,82
S00240,Student_240,67,83,68,70,97,43
S00241,Student_241,42,96,45,74,70,54
S00242,Student_242,45,75,44,98,64,48
S00243,Student_243,84,63,45,98,51,59
S00244,Student_244,72,59,94,56,71,46
S00245,Student_245,56,49,78,67,47,92
S00246,Student_246,85,49,44,81,74,41
S00247,Student_247,92,90,51,41,71,42
S00248,Student_248,49,78,69,87,58,48
S00249,Student_249,93,50,51,41,71,43
S00250,Student_250,80,66,69,55,72,68
S00251,Student_251,80,49,77,84,44,52
S00252,Student_252,65,57,99,46,96,50
S00253,Student_253,67,42,53,44,47,94
S00254,Student_254,47,99,92,81,66,86
S00255,Student_255,84,46,45,60,86,90
S00256,Student_256,79,69,83,83,57,46
S00257,Student_257,61,49,97,65,87,55
S00258,Student_258,92,92,76,55,46,59
S00259,Student_259,67,94,51,42,69,81
S00260,Student_260,75,99,66,48,59,86
S00261,Student_261,52,75,56,61,99,76
S00262,Student_262,76,90,63,99,83,72
S00263,Student_263,69,96,63,47,97,57
S00264,Student_264,62,54,42,52,85,94
S00265,Student_265,85,55,44,87,75,40
S00266,Student_266,66,57,66,42,94,75
S00267,Student_267,40,90,52,98,97,74
S00268,Student_268,48,97,78,46,72,59
S00269,Student_269,48,82,84,49,53,88
S00270,Student_270,79,86,53,56,69,45
S00271,Student_271,50,95,53,40,93,56
S00272,Student_272,64,40,78,52,84,86
S00273,Student_273,84,71,55,75,57,94
S00274,Student_274,85,63,60,75,85,61
S00275,Student_275,69,50,81,48,50,57
S00276,Student_276,43,95,60,58,44,97
S00277,Student_277,85,47,79,66,62,85
S00278,Student_278,63,88,78,67,71,63
S00279,Student_279,43,48,90,63,51,90
S00280,Student_280,56,70,65,60,75,64
S00281,Student_281,59,70,64,94,76,76
S00282,Student_282,68,45,99,62,43,94
S00283,Student_283,57,91,75,43,44,75
S00284,Student_284,81,89,48,79,69,93
S00285,Student_285,66,71,61,89,51,97
S00286,Student_286,94,93,94,60,84,79
S00287,Student_287,59,90,58,98,97,82
S00288,Student_288,59,72,84,82,77,59
S00289,Student_289,76,42,87,43,66,96
S00290,Student_290,67,77,73,51,71,73
S00291,Student_291,44,89,49,65,53,72
S00292,Student_292,74,66,41,85,59,79
S00293,Student_293,40,62,95,44,91,55
S00294,Student_294,91,65,43,40,77,96
S00295,Student_295,66,78,84,90,45,44
S00296,Student_296,81,43,55,87,72,87
S00297,Student_297,52,99,45,99,82,88
S00298,Student_298,64,92,54,45,86,89
S00299,Student_299,61,57,42,74,61,69
S00300,Student_300,50,82,55,98,69,59
S00301,Student_301,71,83,75,64,91,77
S00302,Student_302,72,47,99,54,67,75
S00303,Student_303,45,45,89,43,66,65
S00304,Student_304,62,79,61,87,79,85
S00305,Student_305,73,54,40,52,64,65
S00306,Student_306,49,81,84,77,72,75
S00307,Student_307,70,55,82,73,77,82
S00308,Student_308,80,56,84,40,76,93
S00309,Student_309,73,62,70,46,95,64
S00310,Student_310,64,41,62,70,64,59
S00311,Student_311,40,66,98,86,67,82
S00312,Student_312,52,81,98,52,54,87
S00313,Student_313,83,90,55,71,41,99
S00314,Student_314,76,62,53,70,62,54
S00315,Student_315,72,85,40,42,52,48
S00316,Student_316,59,79,45,55,49,60
S00317,Student_317,62,64,78,63,77,72
S00318,Student_318,48,81,98,96,99,95
S00319,Student_319,42,63,75,48,41,89
S00320,Student_320,41,88,77,69,85,77
S00321,Student_321,63,48,71,95,84,43
S00322,Student_322,97,43,42,69,70,51
S00323,Student_323,90,83,47,59,83,74
S00324,Student_324,97,70,66,65,90,71
S00325,Student_325,62,52,95,52,58,62
S00326,Student_326,61,50,84,85,92,48
S00327,Student_327,58,89,89,68,67,46
S00328,Student_328,42,45,66,78,51,40
S00329,Student_329,92,82,47,82,93,99
S00330,Student_330,89,76,74,71,65,42
S00331,Student_331,40,63,91,49,95,51
S00332,Student_332,50,60,64,71,79,40
S00333,Student_333,55,95,60,48,77,77
S00334,Student_334,46,74,79,79,78,63
S00335,Student_335,67,68,72,92,53,81
S00336,Student_336,91,91,89,53,60,40
S00337,Student_337,72,43,42,98,98,73
S00338,Student_338,65,41,61,68,52,93
S00339,Student_339,80,54,86,89,47,55
S00340,Student_340,83,96,86,54,42,86
S00341,Student_341,46,54,96,83,58,55
S00342,Student_342,46,66,87,61,80,60
S00343,Student_343,43,40,66,97,89,53
S00344,Student_344,68,82,55,52,78,82
S00345,Student_345,97,49,71,70,89,97
S00346,Student_346,98,85,58,60,82,89
S00347,Student_347,73,50,41,47,96,56
S00348,Student_348,54,88,78,50,79,86
S00349,Student_349,88,73,56,84,47,76
S00350,Student_350,89,51,48,65,41,52
S00351,Student_351,66,41,89,45,68,91
S00352,Student_352,93,98,67,81,76,69
S00353,Student_353,41,63,86,91,83,93
S00354,Student_354,72,73,70,77,45,80
S00355,Student_355,57,44,56,41,46,44
S00356,Student_356,68,75,76,94,42,80
S00357,Student_357,54,60,85,41,64,83
S00358,Student_358,64,96,60,90,84,62
S00359,Student_359,97,98,72,72,61,91
S00360,Student_360,76,43,63,96,88,46
S00361,Student_361,72,46,67,60,48,63
S00362,Student_362,54,56,68,87,55,50
S00363,Student_363,57,49,54,58,90,89
S00364,Student_364,97,65,51,62,58,56
S00365,Student_365,50,40,78,93,99,65
S00366,Student_366,90,96,61,54,76,51
S00367,Student_367,65,47,74,45,53,99
S00368,Student_368,57,63,77,40,49,64
S00369,Student_369,51,82,67,78,67,45
S00370,Student_370,78,79,66,95,95,43
S00371,Student_371,70,66,92,44,73,90
S00372,Student_372,96,79,67,61,76,98
S00373,Student_373,77,88,81,41,95,87
S00374,Student_374,77,92,47,62,91,41
S00375,Student_375,94,44,51,87,58,83
S00376,Student_376,67,80,88,73,96,64
S00377,Student_377,91,60,56,71,79,70
S00378,Student_378,92,98,75,75,72,51
S00379,Student_379,41,53,63,90,81,40
S00380,Student_380,57,42,76,65,96,84
S00381,Student_381,42,89,53,41,97,62
S00382,Student_382,46,82,56,92,87,68
S00383,Student_383,56,81,85,41,90,55
S00384,Student_384,73,56,47,54,68,42
S00385,Student_385,45,84,57,72,98,88
S00386,Student_386,96,70,43,82,54,89
S00387,Student_387,87,91,98,57,86,99
S00388,Student_388,87,81,84,71,48,61
S00389,Student_389,84,83,63,55,66,42
S00390,Student_390,52,78,68,54,76,43
S00391,Student_391,87,83,80,61,66,70
S00392,Student_392,80,52,48,88,72,94
S00393,Student_393,77,51,47,91,81,40
S00394,Student_394,58,44,86,48,67,73
S00395,Student_395,96,73,58,58,86,71
S00396,Student_396,46,78,82,46,81,85
S00397,Student_397,82,91,96,83,59,56
S00398,Student_398,67,73,73,55,68,57
S00399,Student_399,82,82,94,97,93,81
S00400,Student_400,42,70,94,88,74,87
S00401,Student_401,81,72,53,65,78,44
S00402,Student_402,81,97,78,90,47,76
S00403,Student_403,45,68,82,74,71,86
S00404,Student_404,52,49,62,93,50,43
S00405,Student_405,80,44,71,74,67,49
S00406,Student_406,47,64,63,72,66,93
S00407,Student_407,83,64,82,53,96,50
S00408,Student_408,64,43,56,82,90,64
S00409,Student_409,98,51,40,43,77,59
S00410,Student_410,78,83,72,76,47,51
S00411,Student_411,96,53,94,67,98,54
S00412,Student_412,45,67,56,54,43,61
S00413,Student_413,80,87,40,65,71,77
S00414,Student_414,56,93,62,58,55,43
S00415,Student_415,51,85,76,88,98,90
S00416,Student_416,66,64,78,85,52,54
S00417,Student_417,85,89,98,74,54,65
S00418,Student_418,71,70,52,42,85,84
S00419,Student_419,83,62,87,60,92,65
S00420,Student_420,63,79,41,68,92,87
S00421,Student_421,75,41,47,50,40,40
S00422,Student_422,57,87,87,53,42,87
S00423,Student_423,45,91,69,98,91,52
S00424,Student_424,86,99,44,51,74,96
S00425,Student_425,92,51,49,92,98,77
S00426,Student_426,58,55,82,54,77,81
S00427,Student_427,60,41,61,95,69,52
S00428,Student_428,85,71,67,40,42,49
S00429,Student_429,98,54,79,55,94,56
S00430,Student_430,62,40,76,60,61,48
S00431,Student_431,90,83,74,86,97,86
S00432,Student_432,46,44,66,71,85,42
S00433,Student_433,42,78,58,41,54,44
S00434,Student_434,44,51,94,51,84,77
S00435,Student_435,88,78,50,71,44,46
S00436,Student_436,53,81,80,92,60,47
S00437,Student_437,97,68,99,42,80,45
S00438,Student_438,66,59,54,47,70,87
S00439,Student_439,69,44,40,51,63,80
S00440,Student_440,73,87,95,64,48,66
S00441,Student_441,49,82,69,48,81,83
S00442,Student_442,82,79,83,63,70,54
S00443,Student_443,95,82,79,95,55,42
S00444,Student_444,96,90,67,78,68,73
S00445,Student_445,60,66,60,88,95,43
S00446,Student_446,51,88,51,63,90,55
S00447,Student_447,49,86,92,95,59,82
S00448,Student_448,84,45,79,94,80,92
S00449,Student_449,77,55,91,93,92,74
S00450,Student_450,60,74,60,95,99,50
S00451,Student_451,48,52,50,92,74,91
S00452,Student_452,72,73,57,57,58,95
S00453,Student_453,78,59,94,62,42,66
S00454,Student_454,81,55,44,43,41,48
S00455,Student_455,49,52,41,94,74,75
S00456,Student_456,92,98,91,61,70,89
S00457,Student_457,48,72,40,56,44,64
S00458,Student_458,84,58,78,59,45,46
S00459,Student_459,60,61,86,78,49,96
S00460,Student_460,65,62,93,80,87,79
S00461,Student_461,85,69,59,46,77,65
S00462,Student_462,71,97,77,86,74,75
S00463,Student_463,53,55,79,72,60,82
S00464,Student_464,45,48,40,77,63,68
S00465,Student_465,82,49,53,79,56,87
S00466,Student_466,88,42,55,94,90,71
S00467,Student_467,46,49,81,59,94,68
S00468,Student_468,85,85,51,65,90,81
S00469,Student_469,72,45,75,54,53,53
S00470,Student_470,76,92,73,42,53,48
S00471,Student_471,66,52,43,92,98,99
S00472,Student_472,78,46,48,95,88,62
S00473,Student_473,50,87,98,86,68,73
S00474,Student_474,45,43,98,99,51,87
S00475,Student_475,43,66,78,76,42,54
S00476,Student_476,89,83,80,99,67,75
S00477,Student_477,48,52,93,53,88,62
S00478,Student_478,92,87,96,90,66,54
S00479,Student_479,63,55,74,97,78,81
S00480,Student_480,99,56,54,68,49,89
S00481,Student_481,97,47,55,44,43,58
S00482,Student_482,92,98,42,48,49,55
S00483,Student_483,49,93,68,75,95,87
S00484,Student_484,82,84,87,41,57,71
S00485,Student_485,72,87,91,55,59,45
S00486,Student_486,48,99,93,72,75,58
S00487,Student_487,90,52,59,99,58,72
S00488,Student_488,97,65,93,49,74,99
S00489,Student_489,69,44,71,48,88,60
S00490,Student_490,98,59,93,86,82,62
S00491,Student_491,80,45,48,64,70,83
S00492,Student_492,92,81,72,90,90,65
S00493,Student_493,41,79,72,90,58,77
S00494,Student_494,67,63,81,65,55,52
S00495,Student_495,86,77,54,78,90,88
S00496,Student_496,87,83,94,81,51,86
S00497,Student_497,92,93,44,69,61,90
S00498,Student_498,67,57,96,57,95,85
S00499,Student_499,58,57,68,90,76,70
S00500,Student_500,64,98,50,76,70,54
S00501,Student_501,93,59,86,49,69,88
S00502,Student_502,47,96,77,78,57,76
S00503,Student_503,82,43,67,97,83,68
S00504,Student_504,88,59,82,78,96,41
S00505,Student_505,45,98,79,79,69,67
S00506,Student_506,78,82,85,54,80,76
S00507,Student_507,92,53,41,58,81,92
S00508,Student_508,86,77,80,78,80,47
S00509,Student_509,69,67,46,71,97,40
S00510,Student_510,58,49,45,99,80,63
S00511,Student_511,73,67,92,45,74,65
S00512,Student_512,53,54,68,46,70,53
S00513,Student_513,41,58,88,52,76,96
S00514,Student_514,97,55,59,55,82,82
S00515,Student_515,43,69,41,56,55,45
S00516,Student_516,44,55,46,59,82,54
S00517,Student_517,65,61,73,40,63,80
S00518,Student_518,42,63,94,94,99,71
S00519,Student_519,79,83,46,64,82,79
S00520,Student_520,67,82,65,53,57,77
S00521,Student_521,63,69,70,90,54,52
S00522,Student_522,96,43,48,67,68,91
S00523,Student_523,83,63,99,53,54,56
S00524,Student_524,72,75,73,75,71,59
S00525,Student_525,95,94,48,62,99,67
S00526,Student_526,56,68,63,46,73,98
S00527,Student_527,87,52,96,71,41,98
S00528,Student_528,46,82,94,53,87,52
S00529,Student_529,51,40,46,41,71,95
S00530,Student_530,95,49,68,55,60,85
S00531,Student_531,70,40,72,84,63,47
S00532,Student_532,51,61,66,81,79,40
S00533,Student_533,64,83,75,58,84,97
S00534,Student_534,80,95,63,91,64,61
S00535,Student_535,99,80,71,89,43,72
S00536,Student_536,60,42,64,95,75,59
S00537,Student_537,94,51,57,74,69,74
S00538,Student_538,62,54,76,59,53,94
S00539,Student_539,46,86,63,96,63,65
S00540,Student_540,56,86,95,57,46,44
S00541,Student_541,59,53,68,46,45,47
S00542,Student_542,74,40,53,84,71,89
S00543,Student_543,50,77,74,85,72,51
S00544,Student_544,52,41,79,55,50,97
S00545,Student_545,89,50,41,71,61,84
S00546,Student_546,46,60,62,81,71,89
S00547,Student_547,55,48,47,57,92,66
S00548,Student_548,92,85,45,87,95,63
S00549,Student_549,64,91,42,53,75,71
S00550,Student_550,46,99,76,80,44,60
S00551,Student_551,69,52,46,47,50,80
S00552,Student_552,50,94,79,49,74,86
S00553,Student_553,95,47,58,47,93,56
S00554,Student_554,91,46,82,82,70,84
S00555,Student_555,98,46,72,42,84,62
S00556,Student_556,41,89,44,95,72,99
S00557,Student_557,90,73,78,55,79,45
S00558,Student_558,98,41,92,85,98,77
S00559,Student_559,43,60,58,53,65,53
S00560,Student_560,95,92,64,81,48,57
S00561,Student_561,95,75,54,46,67,59
S00562,Student_562,75,46,68,43,92,58
S00563,Student_563,46,42,54,75,84,89
S00564,Student_564,71,63,88,48,81,69
S00565,Student_565,59,90,69,59,72,65
S00566,Student_566,63,77,64,89,55,83
S00567,Student_567,77,70,82,63,89,43
S00568,Student_568,43,79,46,90,56,77
S00569,Student_569,61,46,78,99,59,78
S00570,Student_570,55,96,44,57,71,45
S00571,Student_571,64,45,88,58,87,80
S00572,Student_572,45,72,74,58,89,97
S00573,Student_573,93,47,75,62,89,68
S00574,Student_574,41,58,83,51,92,60
S00575,Student_575,85,66,91,49,89,62
S00576,Student_576,92,44,65,59,57,86
S00577,Student_577,79,42,79,42,57,42
S00578,Student_578,60,81,72,78,75,79
S00579,Student_579,67,68,44,93,69,46
S00580,Student_580,73,73,40,44,41,94
S00581,Student_581,96,91,63,61,59,72
S00582,Student_582,80,43,70,43,44,85
S00583,Student_583,63,77,89,42,97,72
S00584,Student_584,94,41,88,50,85,65
S00585,Student_585,42,71,76,85,67,45
S00586,Student_586,56,40,90,71,80,99
S00587,Student_587,40,54,81,52,94,67
S00588,Student_588,52,86,84,96,91,40
S00589,Student_589,73,98,55,93,56,45
S00590,Student_590,79,60,67,81,52,47
S00591,Student_591,99,67,63,69,83,74
S00592,Student_592,63,43,90,50,71,82
S00593,Student_593,52,59,76,91,86,76
S00594,Student_594,80,53,94,72,62,43
S00595,Student_595,50,97,56,86,89,50
S00596,Student_596,87,74,46,72,40,54
S00597,Student_597,54,72,67,85,42,43
S00598,Student_598,85,79,69,58,40,64
S00599,Student_599,48,78,88,55,70,87
S00600,Student_600,94,77,42,73,49,87
S00601,Student_601,58,76,67,94,78,76
S00602,Student_602,76,59,54,71,50,69
S00603,Student_603,57,97,92,98,77,50
S00604,Student_604,62,90,59,46,81,97
S00605,Student_605,55,50,71,79,78,45
S00606,Student_606,73,61,89,96,62,98
S00607,Student_607,85,75,70,41,49,96
S00608,Student_608,99,47,86,57,91,57
S00609,Student_609,90,83,63,51,94,85
S00610,Student_610,92,74,60,80,93,60
S00611,Student_611,97,62,41,57,86,62
S00612,Student_612,45,71,75,60,66,77
S00613,Student_613,54,54,75,67,43,64
S00614,Student_614,40,43,60,87,63,74
S00615,Student_615,88,48,74,88,73,57
S00616,Student_616,44,58,97,43,64,44
S00617,Student_617,46,45,58,99,41,89
S00618,Student_618,95,83,78,90,79,78
S00619,Student_619,77,69,70,87,52,70
S00620,Student_620,82,95,61,85,40,99
S00621,Student_621,62,83,89,81,86,81
S00622,Student_622,66,76,70,90,96,59
S00623,Student_623,99,46,67,85,40,66
S00624,Student_624,62,79,59,40,48,93
S00625,Student_625,50,44,79,55,60,82
S00626,Student_626,70,52,62,66,84,98
S00627,Student_627,55,53,79,68,71,97
S00628,Student_628,82,57,83,70,61,89
S00629,Student_629,90,86,63,91,58,64
S00630,Student_630,68,56,52,56,73,99
S00631,Student_631,84,91,83,40,97,71
S00632,Student_632,45,96,72,82,75,63
S00633,Student_633,64,78,54,72,66,82
S00634,Student_634,93,79,98,43,43,69
S00635,Student_635,67,60,63,87,43,51
S00636,Student_636,77,99,58,69,80,67
S00637,Student_637,46,51,70,75,44,96
S00638,Student_638,78,65,54,96,79,56
S00639,Student_639,51,69,74,72,92,55
S00640,Student_640,80,69,87,58,91,66
S00641,Student_641,57,97,60,60,50,40
S00642,Student_642,82,45,88,41,43,82
S00643,Student_643,41,61,93,58,52,41
S00644,Student_644,64,89,53,56,80,68
S00645,Student_645,49,55,90,75,88,55
S00646,Student_646,81,79,80,82,55,66
S00647,Student_647,88,97,52,68,53,42
S00648,Student_648,85,57,91,44,62,87
S00649,Student_649,73,77,44,56,64,43
S00650,Student_650,47,45,92,87,62,72
S00651,Student_651,88,40,81,63,58,98
S00652,Student_652,91,99,93,40,71,76
S00653,Student_653,63,90,98,88,70,48
S00654,Student_654,49,59,94,44,67,64
S00655,Student_655,47,90,80,46,88,99
S00656,Student_656,77,62,43,92,58,76
S00657,Student_657,51,83,96,70,47,54
S00658,Student_658,70,83,77,51,48,73
S00659,Student_659,73,62,82,45,78,73
S00660,Student_660,42,48,86,73,62,72
S00661,Student_661,86,77,86,47,79,46
S00662,Student_662,67,65,94,65,50,61
S00663,Student_663,51,80,93,95,80,93
